name,description,category,subcategory,subSubcategory,subSubSubcategory,size,price,stock
Wireless Headphones,High-quality wireless headphones with noise cancellation,Electronics,Audio,Headphones,Wireless,One Size,2999,50
Smart Watch,Feature-rich smartwatch with health monitoring,Electronics,Wearables,Smartwatches,Android,iOS,Large,5999,30
Laptop Stand,Adjustable aluminum laptop stand for better ergonomics,Accessories,Computer Accessories,Stands,Adjustable,Universal,1499,100
Bluetooth Speaker,Portable Bluetooth speaker with waterproof design,Electronics,Audio,Speakers,Portable,Compact,2499,75
Gaming Mouse,High-precision gaming mouse with RGB lighting,Accessories,Gaming,Mouse,Optical,Wired,1999,40
Coffee Maker,Automatic drip coffee maker for home use,Appliances,Kitchen,Coffee Makers,Automatic,1.5L,3499,25
Yoga Mat,Non-slip yoga mat with carrying strap,Sports & Fitness,Yoga,Equipment,Standard,6mm,899,60
LED Desk Lamp,Adjustable LED desk lamp with USB charging,Home & Garden,Lighting,Lamps,LED,White,1299,80
Water Bottle,Insulated stainless steel water bottle,Outdoor,Sports,Water Bottles,Insulated,500ml,799,120
Phone Case,Protective phone case with screen protector,Accessories,Mobile,Phone Cases,Silicone,iPhone 13,499,200
